Month-Year,Total Casualties
1979-01,7.087915866
1979-02,6.14086747
1979-03,7.831384729
1979-04,7.47026274
1979-05,8.573956767
1979-06,8.069342597
1979-07,8.584718681
1979-08,9.036420109
1979-09,8.925811553
1979-10,9.215785336
1979-11,9.436703506
1979-12,9.626830646
1980-01,7.624597529
1980-02,6.931368828
1980-03,7.93892242
1980-04,7.401784949
1980-05,8.467796237
1980-06,8.400156703
1980-07,8.807830271
1980-08,8.827112129
1980-09,8.75824835
1980-10,9.511465054
1980-11,8.716624022
1980-12,8.614093508
1981-01,7.286972048
1981-02,6.972047777
1981-03,8.164327053
1981-04,7.665619998
1981-05,8.488794483
1981-06,8.169560399
1981-07,9.086935107
1981-08,8.751693141
1981-09,9.291035587
1981-10,9.846078069
1981-11,8.938246521
1981-12,7.338689817
1982-01,6.44660531
1982-02,6.640724312
1982-03,7.922089187
1982-04,7.581408843
1982-05,8.364166051
1982-06,8.523588898
1982-07,8.799961715
1982-08,9.149615202
1982-09,8.817908001
1982-10,9.286605191
1982-11,9.560585169
1982-12,8.906742121
1983-01,7.639410987
1983-02,6.338630648
1983-03,7.777784979
1983-04,7.961851554
1983-05,8.404194644
1983-06,8.464145905
1983-07,9.23929951
1983-08,8.61839888
1983-09,8.805057942
1983-10,9.388367511
1983-11,8.664091463
1983-12,8.698765976
1984-01,7.281831805
1984-02,6.71633047
1984-03,7.389135221
1984-04,7.42428634
1984-05,8.392175484
1984-06,8.580881491
1984-07,8.903408425
1984-08,8.573172913
1984-09,8.697435202
1984-10,9.326146882
1984-11,9.816412489
1984-12,8.898783278
1985-01,6.614933044
1985-02,6.294327358
1985-03,7.722250916
1985-04,7.553444779
1985-05,8.346770638
1985-06,8.545495774
1985-07,9.144820549
1985-08,9.320870233
1985-09,8.59934997
1985-10,9.165921316
1985-11,10.08553684
1985-12,8.606278581
1986-01,7.559512145
1986-02,6.354494244
1986-03,7.821418462
1986-04,7.513165303
1986-05,8.828295836
1986-06,8.021736358
1986-07,8.758620046
1986-08,8.879930573
1986-09,7.970101621
1986-10,9.594107419
1986-11,9.528475313
1986-12,9.17014268
1987-01,6.08720499
1987-02,6.73862582
1987-03,7.648817072
1987-04,7.678354143
1987-05,8.501860514
1987-06,8.831263063
1987-07,9.173507816
1987-08,9.105765187
1987-09,8.937853361
1987-10,9.777091433
1987-11,8.928221708
1987-12,8.591434892
1988-01,8.074029258
1988-02,7.157506089
1988-03,7.960161958
1988-04,7.221730969
1988-05,8.426800701
1988-06,7.833573789
1988-07,9.000791176
1988-08,8.639022044
1988-09,8.72899893
1988-10,9.4311289
1988-11,9.404756364
1988-12,8.121499822
1989-01,7.650354809
1989-02,7.363755591
1989-03,7.769795546
1989-04,7.691924869
1989-05,8.203060962
1989-06,8.492294902
1989-07,8.57748425
1989-08,8.781528841
1989-09,8.328649383
1989-10,9.481779433
1989-11,9.198693178
1989-12,8.460678236
1990-01,8.272734724
1990-02,7.650940303
1990-03,7.792922551
1990-04,8.000772852
1990-05,8.355289351
1990-06,8.38661327
1990-07,8.509859716
1990-08,8.412960491
1990-09,8.560797677
1990-10,8.894529146
1990-11,8.989964636
1990-12,8.039122696
1991-01,8.40843252
1991-02,6.376739914
1991-03,7.774451931
1991-04,7.962012551
1991-05,7.957195069
1991-06,9.045945929
1991-07,8.806677672
1991-08,8.75111605
1991-09,8.675963336
1991-10,8.618795887
1991-11,9.448687397
1991-12,8.173981745
1992-01,8.048244414
1992-02,7.063211381
1992-03,7.982275198
1992-04,7.811077036
1992-05,8.406730791
1992-06,8.050497022
1992-07,8.68058349
1992-08,8.773905796
1992-09,8.358138831
1992-10,8.718234213
1992-11,9.251136762
1992-12,8.855965065
1993-01,7.777614451
1993-02,6.606889118
1993-03,7.56398321
1993-04,8.013131462
1993-05,8.714456041
1993-06,8.274127427
1993-07,9.03163637
1993-08,8.231009195
1993-09,8.737975076
1993-10,8.789912947
1993-11,9.022816731
1993-12,9.236447972
1994-01,8.162760536
1994-02,7.303739548
1994-03,7.852320688
1994-04,7.738482174
1994-05,8.005162371
1994-06,8.034018373
1994-07,8.466224208
1994-08,8.301332767
1994-09,8.397413741
1994-10,9.378834915
1994-11,8.959947235
1994-12,9.399763444
1995-01,7.889612375
1995-02,7.416467377
1995-03,8.338617322
1995-04,7.186010358
1995-05,8.045718038
1995-06,8.07822664
1995-07,8.403312659
1995-08,8.631194739
1995-09,9.190600186
1995-10,8.769275831
1995-11,9.25561739
1995-12,8.795347086
1996-01,7.270929384
1996-02,7.829295834
1996-03,7.420970871
1996-04,7.712319623
1996-05,8.072918291
1996-06,8.071982482
1996-07,8.538951519
1996-08,8.606641753
1996-09,8.314045256
1996-10,9.528414302
1996-11,9.806973654
1996-12,8.826557031
1997-01,7.670178949
1997-02,7.46517715
1997-03,7.849250462
1997-04,7.801965821
1997-05,8.333384177
1997-06,8.661936169
1997-07,8.568282073
1997-08,8.528318924
1997-09,7.781526653
1997-10,9.141799013
1997-11,9.458453579
1997-12,8.73972703
1998-01,7.86656089
1998-02,7.047095433
1998-03,7.85948858
1998-04,7.895465112
1998-05,8.095949719
1998-06,8.793033467
1998-07,8.256460401
1998-08,8.565489588
1998-09,8.355472738
1998-10,9.420316593
1998-11,9.172170769
1998-12,8.67249671
1999-01,8.205800631
1999-02,6.996347289
1999-03,7.937622928
1999-04,7.862695514
1999-05,7.877056601
1999-06,8.316942962
1999-07,8.359089632
1999-08,8.435265836
1999-09,8.807093129
1999-10,8.867971652
1999-11,9.179857014
1999-12,9.154256814
2000-01,8.238026995
2000-02,7.674462897
2000-03,7.522722093
2000-04,8.176206667
2000-05,8.677013766
2000-06,7.679770703
2000-07,8.145296503
2000-08,8.293602845
2000-09,8.347305352
2000-10,9.039817911
2000-11,9.527511607
2000-12,8.678262661
2001-01,8.476253813
2001-02,7.434987183
2001-03,7.448100586
2001-04,7.406887034
2001-05,8.129997533
2001-06,7.946722118
2001-07,8.203370145
2001-08,8.248642607
2001-09,8.049443773
2001-10,8.734462959
2001-11,9.011717762
2001-12,8.731965168
2002-01,7.81018159
2002-02,7.717982188
2002-03,7.880900844
2002-04,7.720956362
2002-05,8.405346904
2002-06,7.800267676
2002-07,8.574544373
2002-08,8.161464616
2002-09,8.239784538
2002-10,9.556682804
2002-11,9.494886073
2002-12,8.637002032
2003-01,8.117492008
2003-02,7.513583637
2003-03,7.697336953
2003-04,7.710413032
2003-05,8.422715213
2003-06,8.382454655
2003-07,8.738949853
2003-08,8.246188151
2003-09,8.713141803
2003-10,9.142243649
2003-11,8.975351592
2003-12,8.340129453
2004-01,8.269833357
2004-02,7.232231876
2004-03,7.932630679
2004-04,7.865332574
2004-05,8.438256659
2004-06,8.418672554
2004-07,8.105682951
2004-08,8.517305227
2004-09,8.566799601
2004-10,9.181384418
2004-11,8.715638798
2004-12,8.756231306
2005-01,8.13786589
2005-02,7.238291325
2005-03,7.514288772
2005-04,7.894707712
2005-05,8.562562496
2005-06,8.466258574
2005-07,8.589867056
2005-08,8.398366154
2005-09,8.329735773
2005-10,8.824538682
2005-11,9.340742463
2005-12,8.702775103
2006-01,7.813346543
2006-02,7.394622374
2006-03,7.763037724
2006-04,7.410102011
2006-05,8.477035959
2006-06,8.336171267
2006-07,8.916657637
2006-08,8.278509621
2006-09,8.862091918
2006-10,9.005665547
2006-11,9.124858748
2006-12,8.617900652
2007-01,8.379207361
2007-02,7.212850109
2007-03,8.212527242
2007-04,7.76172411
2007-05,8.776737428
2007-06,8.559609331
2007-07,8.816692227
2007-08,8.478085398
2007-09,8.357817419
2007-10,8.425619501
2007-11,8.932924368
2007-12,8.086205505
2008-01,8.202507525
2008-02,8.310344081
2008-03,7.941361166
2008-04,7.91927416
2008-05,8.41125138
2008-06,8.284359369
2008-07,8.558065005
2008-08,8.089907105
2008-09,8.39652671
2008-10,9.107208592
2008-11,8.620428315
2008-12,8.158766592
2009-01,8.180655965
2009-02,6.593861695
2009-03,8.019500689
2009-04,7.803426575
2009-05,8.486310805
2009-06,8.430491659
2009-07,8.859938959
2009-08,8.461552312
2009-09,8.308049661
2009-10,9.052154889
2009-11,9.441988602
2009-12,8.362068189
2010-01,6.715616732
2010-02,7.573520954
2010-03,8.458264637
2010-04,8.024999041
2010-05,8.554599133
2010-06,8.784172386
2010-07,8.809574019
2010-08,8.641348108
2010-09,8.959587439
2010-10,9.310896821
2010-11,9.410586251
2010-12,6.756834477
2011-01,7.704829615
2011-02,7.330718313
2011-03,8.124540329
2011-04,8.274577102
2011-05,8.337337583
2011-06,8.678597696
2011-07,8.712429517
2011-08,8.151507722
2011-09,8.748222604
2011-10,9.060554057
2011-11,8.519735229
2011-12,8.356950233
2012-01,8.032781022
2012-02,7.497841337
2012-03,8.273427242
2012-04,7.586742488
2012-05,8.57129719
2012-06,8.042488619
2012-07,8.833913235
2012-08,8.260143162
2012-09,8.883983998
2012-10,8.963688478
2012-11,8.976461632
2012-12,8.077231598
2013-01,7.293515544
2013-02,6.928730876
2013-03,7.420373496
2013-04,7.200413786
2013-05,8.311645887
2013-06,8.563728426
2013-07,9.400010889
2013-08,8.73686503
2013-09,8.647029999
2013-10,9.504546197
2013-11,9.435944901
2013-12,8.557194969
2014-01,8.137723227
2014-02,7.336086015
2014-03,8.124354037
2014-04,7.632779198
2014-05,8.465782586
2014-06,8.594846691
2014-07,8.953243828
2014-08,8.540855731
2014-09,7.940270572
2014-10,9.110074713
2014-11,8.95118703
2014-12,8.212796372
2015-01,8.088018089
2015-02,7.3156846
2015-03,7.770598693
2015-04,7.800138569
2015-05,8.109501635
2015-06,8.603086111
2015-07,9.283040351
2015-08,8.545080536
2015-09,8.685797765
2015-10,8.798586383
2015-11,8.705670045
2015-12,8.294797222
2016-01,8.483107661
2016-02,7.764190888
2016-03,7.925175319
2016-04,7.789551449
2016-05,8.425770741
2016-06,8.210757288
2016-07,8.738367221
2016-08,8.553124862
2016-09,8.378908834
2016-10,8.580690689
2016-11,9.062541349
2016-12,8.087813699
2017-01,8.47461592
2017-02,7.435976911
2017-03,8.216125806
2017-04,7.65060558
2017-05,8.313205804
2017-06,8.59333423
2017-07,8.920833017
2017-08,8.18980894
2017-09,8.492745317
2017-10,8.53017375
2017-11,9.078149398
2017-12,8.104425327
2018-01,8.085456142
2018-02,7.475233037
2018-03,7.206236729
2018-04,7.483327833
2018-05,9.120344714
2018-06,8.977129087
2018-07,9.165800108
2018-08,8.091682908
2018-09,8.548104884
2018-10,8.818346544
2018-11,8.91735213
2018-12,8.110985884
2019-01,7.876180154
2019-02,7.407383225
2019-03,7.92253751
2019-04,7.734496402
2019-05,8.3169015
2019-06,8.459238172
2019-07,8.871231016
2019-08,8.399169485
2019-09,8.653155565
2019-10,8.714530093
2019-11,9.195079591
2019-12,8.450097285
2020-01,10.67535299
2020-02,9.622439092
2020-03,7.174003322
2020-04,3.379360465
2020-05,5.994774363
2020-06,7.385970377
2020-07,8.977886213
2020-08,9.9884067
2020-09,10.10607004
2020-10,9.62157392
2020-11,8.22172619
2020-12,8.852436323
2021-01,5.397436997
2021-02,5.079986584
2021-03,6.595480816
2021-04,8.302849254
2021-05,9.13508412
2021-06,9.527412272
2021-07,9.67716775
2021-08,8.841812977
2021-09,9.684187538
2021-10,9.585130529
2021-11,9.79338424
2021-12,8.380066922
2022-01,8.531886625
2022-02,7.230587541
2022-03,8.155447298
2022-04,7.535429584
2022-05,8.602007676
2022-06,8.729701801
2022-07,8.824918807
2022-08,8.660318866
2022-09,8.277236492
2022-10,8.786536758
2022-11,8.897992324
2022-12,7.767936227
2023-01,8.29090745
2023-02,7.144844597
2023-03,7.781044842
2023-04,7.511073344
2023-05,8.772193688
2023-06,9.382825601
2023-07,8.955684066
2023-08,8.254058973
2023-09,8.583439241
2023-10,8.64660806
2023-11,8.640591982
2023-12,8.036728156
